id,claim,explanation,actual,predicted,correct,time_sec
12,Dark Chocolate May Lower Stroke Risk,"Three best practices on reporting on research were violated in this story:   The limitations of observational studies were not explained adequately so that readers could understand. The story is based on an abstract of a talk that won’t even be given for two months yet so true peer review hasn’t taken place. Only relative risk reduction data – not absolute risk reduction figures – were provided. This is the kind of science story that helps science and journalism fall out of favor with the public. These chocolate and Valentine’s Day stories are predictable on the calendar – and predictable in content and delivery. If the science behind it were more fully explained, it would be sweet. This wasn’t.",Misleading,False,False,0.20764398574829102
13,“North Carolina & Virginia State line is closed. Nothing in or out.,A Facebook post said North Carolina's border with Virginia was closed. Some North Carolina local governments have restricted travel. But NC and Virginia have not blocked travel across the border.,False,True,False,0.16121649742126465
14,What Teen Girls Should Eat to Reduce Breast Cancer Risk,"This story focuses primarily on a May 11 paper published in the BMJ, which reported that eating more fruit (particularly during adolescence) was associated with a decreased risk of breast cancer for women. A healthy diet and breast cancer risk reduction are worthy topics, but the story doesn’t touch on some important points — such as the fact that a previous study in Pediatrics by the same researchers, using the same cohort data, pointed to adolescent dietary fiber intake as a significant factor in reducing breast cancer risk. We also were confused by the data discussion: What does a 25% reduction actually mean? Without absolute numbers, we’re just not sure. As we noted in our story reviews related to the earlier Pediatrics study, the CDC reports that breast cancer is the most common cancer in women in the United States — with more than 224,000 new cases reported in 2012 alone. Research findings that identify new ways to reduce the incidence of breast cancer are newsworthy, particularly when the new health measures may also have significant ancillary health benefits — as is likely the case with consuming a diet high in fruits.",Misleading,False,False,0.19893431663513184
15,President Trump rolled back rules protecting residents of nursing homes.,"We reached out to the AHCA for comment, but have not received a response.",True,False,False,0.19777870178222656
16,"""Illegal immigrants"""" are trashing the Arizona desert when they pass through on their way into the United States.""",Photos of Trash in the Arizona Desert Left Behind by ‘Illegal Immigrants’?,Misleading,True,False,0.19751977920532227
17,New class of drugs could help tackle treatment-resistant cancers,"This news release touts a “new class of drug” that is being tested to treat cancers that are resistant to other therapies. The news release says the initial research was funded by the charity Cancer Research UK and the drug was licensed to Irish biotechnology firm Carrick Therapeutics, which is has begun conducting a safety study. Laudably, the headline and the body of the news release caution that this isn’t a proven treatment. But there’s far more hype here than substance. The news release lauds researchers for quick action and offers a quote about how “exciting” it is that academia and industry “are bringing urgently needed new tests and treatments to patients.” But there’s no mention that Imperial College London has a patent on this drug. There’s also no discussion of how many patients might benefit from this, or acknowledgement of the extremely high prices for new cancer drugs. The high cost of new cancer drugs, some of which offer only marginal benefits, is strangling healthcare budgets around the world even though initial research is often funded by government agencies and charities. New releases and news stories should not only describe clinical benefits, but also explore the financial deals under which these drugs are developed, and tell the public which companies, institutions, and clinicians stand to profit from them.",False,True,False,0.20383238792419434
18,A study has determined that Nutella brand spread includes a known carcinogen among its ingredients.,"A more accurate headline summarizing the EFSA report would have been something like: “The thermally altered byproduct of a chemical component of palm oil that is sometimes produced when it is processed in a way that Nutella claims they avoid may potentially be a carcinogen to infants and some adults who consume it in other products.”  But, of course, such a headline doesn’t sell many newspapers or generate online click-throughs.",False,True,False,0.20883846282958984
19,"""Cigarette butts """"poison babies and small children because of the nicotine in them.""",R.I. Lung Association representative says cigarette butts poison babies and small children,True,False,False,0.2003309726715088
20," Vincent Fleck, the father of a doctor who leaked Hillary Clinton’s medical information to the press, died suddenly and under suspicious circumstances. ",Vincent Fleck Found Dead After Hillary Clinton’s Medical Records Leaked,False,True,False,0.19807171821594238
21," Congressman Trey Gowdy was found badly beaten and bloodied after being dragged from his congressional office in Washington, D.C., in June 2017 — and police are on the lookout for his attacker. ","Congressman Trey Gowdy Found Beaten, Placed in Medically-Induced Coma",False,False,True,0.1985769271850586
22,A dying black veteran named William G. Lillas spoke out on his deathbed about a number of issues in black culture.,"""Is a circulating e-mail really the opinion of a dying """"old black vet"""" named William G. Lillas?""",Misleading,True,False,0.16517400741577148
23,The family of a terminally ill boy is asking people to send him Christmas cards.,The family of Jacob Thompson requested cards for the ailing child so that he could have a final celebration.,Misleading,True,False,0.16710448265075684
24,Pediatricians urge autism screening,"""Although this was a well written, interesting piece about a professional organization’s effort at promoting early screening for autism, any story about screening ought to include information about the courses of action that might be taken based on the results of the testing. With any testing, it is important for people to understand the impact of test results that incorrectly identify individuals as either having or not having the condition in question. The story did not make clear what the strength of the evidence is for these new screening recommendations. And there was no discussion about whether the additional of a developmental assessment would increase the cost of traditional checkups. This could be a big issue, since """"recommended treatment should include at least 25 hours a week of intensive behavior-based therapy."""" How much will that cost?""",Misleading,True,False,0.2050473690032959
25,Roche's Pricey New Breast-Cancer Combo Barely Beats Old Drug,"The latest result on Roche’s new combo therapy for breast cancer occurs as a disappointment to investors, though it is one that’s unsurprising to medical researchers. This Bloomberg article receives high marks for reporting the cost, harms and perhaps negligible benefit of the new treatment which combines a newer drug (Perjeta) with an older drug (Herceptin). The story is balanced with its inclusion of the more optimistic side of the news. Roche plans to track the new therapy for years to come to determine if the currently observed small improvement will accentuate over time. This is a notable endeavor since the long-term effect and safety of a cancer treatment is nearly as important as its immediate potency. For more of our analysis on how the news media covered the American Society of Clinical Oncology (ASCO) annual meeting where this drug combo and other new research was showcased, see: High drug costs (and stock values) take center stage at final day of ASCO Small studies get big headlines at ASCO 2017 6 things to keep in mind if you read cancer-related news in the next few days   The article suggests that though Herceptin has been a potent treatment for women with aggressive HER2-positive breast cancer for decades, apparently one in four women will eventually relapse. Thus, new therapies that reduce the risk of relapsing are desirable.",True,False,False,0.2025432586669922
26,Guidelines say more women may need breast cancer gene test.,"More women may benefit from gene testing for hereditary breast or ovarian cancer, especially if they’ve already survived cancer once, an influential health group recommended Tuesday.",True,True,True,0.15951013565063477
27,"Age and pandemic: Time lost, plans canceled, dreams deferred.","Elizabeth Hubbart was booked for a cruise that followed the path of Lewis and Clark’s expedition in the Pacific Northwest. Joel Demski was set to watch and cheer his grandson graduating from the Naval Academy. James Kelly planned a trip to Scotland, to scatter his father’s ashes in the Clyde River near Glasgow.",True,False,False,0.19938969612121582
28,"In 1862, Abraham Lincoln ordered the execution by hanging of 38 Dakota Sioux fighters.","What's true: Lincoln approved the execution of 39 Dakota men convicted by a military commission of perpetrating massacres during the Dakota War of 1862. What's false: The military commission had sentenced 303 Dakota fighters to death, but Lincoln commuted 264 of those sentences despite threats of mob violence and intense pressure to reverse his decision.",Misleading,False,False,0.21914410591125488
29,"Many women could benefit from earlier mammograms, analysis finds","This story summarizes an as-yet-unpublished research study that performed risk assessments for breast cancer among women age 40 to 44 visiting a specialty breast clinic. Of the 900 women whose risks were assessed, about 50 percent had an above-average risk for breast cancer, the analysis found. The study did not examine if these women went on to develop breast cancer, only whether they had risk factors that challenged the common notion to wait until 45 for screening, something that should have been better emphasized in the story. The story didn’t discuss the limitations of risk assessments, nor explain or define what “risk” really means. The headline also overstated the scope of the study. These issues–paired with a lack of information on costs and screening harms–add up to an incomplete story. Understanding a person’s risk for cancer is beneficial and can help doctors and patients make informed decisions about screenings and care. But given the conflicting information about screening mammography over the past few years, news coverage must take pains not to add to the confusion.",False,True,False,0.20413661003112793
30,"Facebook post Says Herman Cain died of cancer, not COVID-19.","Herman Cain died of complications from COVID-19 on July 30. In 2006, he was diagnosed with Stage 4 colon cancer, which spread to his liver, but he recovered and went on to run for president in 2012.",False,False,True,0.1993701457977295
31,Retired marathoner addresses addiction and recovery in SD.,A retired world class long-distance runner shared his message of addiction and recovery in South Dakota.,True,True,True,0.1585843563079834
32,"“Sweden has zero lockdown” and “is in no worse shape than Denmark or Norway,” which are in lockdown.","It goes too far to say Sweden has no lockdown in response to COVID-19. Sweden’s recommendations aren’t as strict as Norway’s and Denmark’s, but it is recommending social distancing. The rate of confirmed coronavirus cases is rising faster in Sweden than in Norway and Denmark, and Sweden has a higher death rate. Differences such as how much testing is being done from one country to another can make comparisons difficult.",False,False,True,0.1988661289215088
33,Charles Manson was one of the 437 applicants who tried out for The Monkees in 1965.,"Britain’s AstraZeneca said a potential medicine to prevent respiratory syncytial virus (RSV) in babies and infants had been granted special status by U.S. and European regulators, designed to speed up the development of novel and better drugs.",False,Misleading,False,0.16625452041625977
34,"“For the World Health Organization, the international entity whose sole responsibility it is to alert the world of global pandemics like this, to miss this, is a huge problem.”","A Jan. 14 tweet saying that Chinese authorities found no clear evidence of human-to-human transmission of the coronavirus led a Pennsylvania congressman to accuse the World Health Organization of failing to alert people about the pandemic. Later in January, the WHO announced that in fact there was evidence of human-to-human transmission of the coronavirus and declared the outbreak a “public health emergency of international concern. Experts say the WHO was slow to designate the coronavirus a pandemic and that the organization should have been more skeptical of information it received from China before it sent that tweet but that accusing the WHO of missing the pandemic altogether goes too far.",False,False,True,0.21619629859924316
35,"Coverage under Obamacare can costs more than $1,200 a month for a family of four.","What's true: A variety of coverage options are available, and monthly costs vary according to plans selected. Consumers at certain income levels are not eligible for subsidies and pay more. What's false: The majority of consumers won't be affected by the hike due to a tax credit, and most people covered by Obamacare get the tax credit which offsets costs.",Misleading,False,False,0.2108597755432129
36,"Eyeing 2020, House empowers Medicare to negotiate drug costs.","Sharpening their 2020 election message, House Democrats on Thursday pushed through legislation that would empower Medicare to negotiate prescription drug prices and offer new benefits for seniors.",True,True,True,0.15919995307922363
37,U.S. Nobel laureates worry about future of basic science.,The kind of basic science that helped Randy Schekman win the coveted Nobel medicine prize might never have been funded if he had applied today.,True,False,False,0.19951963424682617
38,"""According to the CDC, """"110 million Americans now have a sexually transmitted illness.""","""Robertson said that, according to the CDC, """"110 million Americans now have a sexually transmitted illness."""" The figure isn't out of thin air -- it has been touted aggressively by the CDC -- but Robertson describes its meaning incorrectly. There are 110 million infections -- not people who are infected -- and only a small percentage of infected individuals are considered to have an """"illness."""" The statement contains an element of truth but ignores critical facts that would give a different impression.""",False,False,True,0.20584511756896973
39,"""Dustin Diamond (aka """"Screech"""") was charged with second-degree murder after stabbing a man at a bar.""","Diamond was eventually convicted of two misdemeanors, carrying a concealed weapon and disorderly conduct (but not recklessly endangering public safety, and was sentenced to four months in prison. He was released after serving three months of his sentence but was rearrested for violating his probation.",False,False,True,0.20161938667297363
40,"""A teenager leaving for college in Colorado became severely ill due to """"vaping,"""" or the standard use of an e-cigarette.""",Did a Teen in Colorado Fall Gravely Ill From Vaping?,Misleading,True,False,0.2028369903564453
41,A nineteen-year-old developed pleurisy because she wore a mask for extended periods at her job in a grocery store.,"Many iterations of an anecdote about a healthy nineteen-year-old grocery store worker developing pleurisy specifically due to the fact she wore a face mask during her shifts was repeatedly debunked by doctors and public health experts asked about the story’s plausibility. As they noted, medical professionals have long worn masks during each shift for years on end, suffering no ill effects other than occasional skin irritation from mask friction. The rumor was one of many pieces of anti-mask propaganda spreading unchecked on Facebook, with the above iteration being shared more than 17,000 times without any sort of fact-check flag.",False,False,True,0.20273351669311523
42,"""An account describes Muslims' engaging in a """"dry run"""" hijacking on AirTran Flight 297.""","(Contrary to common belief, the fact that a replacement crew was used to complete the flight is not an indicator that the original flight crew refused to continue or felt the situation to be unsafe. When flights experience substantial delays in taking off, as Flight 297 did that day, that situation sometimes requires that the original crew be replaced because otherwise they would “time out” and exceed FAA limitations on maximum hours per working period.)",Misleading,False,False,0.20131230354309082
43,"Statins cut the risk of heart disease death by 28% among men, study shows","This story by The Guardian highlights a new study in the journal “Circulation” that digs into the data of a 20-year study of cholesterol and heart disease in thousands of European men. The Guardian appears to lean heavily on an Imperial College press release that trumpets the benefits of taking statin drugs, which can lower LDL or “bad” cholesterol — and reduce the risk of deadly heart disease. It claims the study showed statins reduced the risk of death from heart disease by 28%. But that’s a lopsided and potentially misleading way to present the data. When broken down into absolute numbers, the benefits are far less dramatic (see quantified benefits criterion, below). In that light, the advantages compared to the disadvantages of taking statins for many years — risk of muscle pain, liver damage, diabetes, and more — become less clear. The story also misses a very big red flag when it comes to making clear that most of the authors have a financial relationship with the primary funder of the study: a drug company that makes statins. Readers need accurate data to make informed healthcare decisions. Relative numbers sound good, but are only one half of the story. Readers also deserve to know any potential conflicts of interest, such as who paid for the study.",False,True,False,0.20299553871154785
44,Pakistan issues health IDs for trans people to improve care.,Pakistan began issuing special health ID cards for transgender people on Tuesday as way to lessen health care discrimination.,True,True,True,0.16038894653320312
45,Stent procedure reduces stay to repair aneurysm,"This is an unbalanced story on the supposed benefits of the use of a stent to repair an aortic aneurysm. The risk of an untreated aneurysm which the reader is told “can burst, causing severe back pain and often death within minutes” is not contrasted with the risks of having had an aneurysm treated. There was no mention of the potential harms of using a stent. There was also no mention of costs. The only framework for the story is provided by a single source â€“ a local surgeon who performs the procedure. The story needed at least one other independent source. The patient who was profiled is said to be an individual in his 80s and in poor health. The evidence to support the statement that the procedure “saved his life” is unclear. It is also worth noting that most aortic aneurysms are abdominal and screening for them is not only considered ineffective, but the best therapy is unclear.",False,False,True,0.20088982582092285
46,"""The @UPS Twitter account sent a tweet """"thanking"""" law enforcement for their service just after an innocent UPS driver who had been taken hostage by robbery suspects was shot and killed in a police shootout.""",UPS Thanks Police for Killing Driver Frank Ordonez,True,True,True,0.15697193145751953
47,Premature births may be reduced with hormone gel,"This story about a study on treatments to prevent preterm births could have taken some cues from a competing story by the Associated Press. It may end up confusing readers the way it introduced a drug that was not part of the study and explaining the cost information in a very disjointed way. AP also mentioned the other drug that’s been in the news lately – but explained the context much more clearly. We do applaud the LA Times blog piece, though, for making note of the small sample size of the study and for providing some of the raw numbers in the study. Preterm births can lead to serious complications for both the chlidren and the mothers and are a leading cause of neonatal death. So far, treatments to prevent preterm birth have had limited success. This study indicates that there is a superior intervention for women who meet certain criteria, and this story could have been more careful in making it clear to readers which intervention may be the best treatment.",Misleading,False,False,0.19997048377990723
48,More than one-quarter of America’s young adults are too fat to serve in the U.S. military,Michelle Obama says many too fat to fight in military,True,False,False,0.19708514213562012
49,An infant who survived abortion in a Polish hospital screamed for an hour while left alone to die.,We reached out to the Holy Family Hospital in Poland for comment but have not received a response.,Misleading,True,False,0.16204285621643066
50,Mindfulness Meditation May Cut IBS Symptoms,"Among several weaknesses in the story, the biggest was a failure to evaluate the quality of the evidence – a failure to help readers understand what this study might mean and what it might not mean. As we state below in our “Evidence” criterion: “We aren’t told if the symptom improvement is clinically meaningful. After all, IBS is a chronic condition and this is a short-term study. And most importantly, the reporting is confusing: “Changes in quality of life …..were not significantly different…. but all were much improved at the 3-month followup in the meditation group.”  And no explanation was given of how symptom changes were measured. Or what was meant by “all were much improved at the three-month followup.”  That’s a big weakness in the story.”  Many people are interested in non-medical approaches to improving health. Mindfulness meditation and other complemenary and alternative therapies, along with exercise and nutritional recommendations are of high interest. Mindfulness meditation and similar therapies are unlikely to have adverse effects and have the potential to be very low cost therapies. But this story didn’t give them enough about a very early, small study.",False,False,True,0.20313405990600586
51,"""Dr. Anthony Fauci """"has known for 15 years that chloroquine and … hydroxychloroquine will not only treat a current case of coronavirus but prevent future cases.”""","An article published by a website run by an anti-LGBTQ political organization claims Dr. Anthony Fauci knew in 2005 that hydroxychloroquine was effective against human coronaviruses. The article cites a 2005 study that found a related drug, chloroquine, could inhibit the spread of Severe Acute Respiratory Syndrome. There is no known treatment, cure or vaccine for the novel coronavirus or SARS. While some early research suggests hydroxychloroquine could treat COVID-19 symptoms, other studies have found no discernible effect",False,False,True,0.20122647285461426
52,A Malaysian teenager was electrocuted by earphones he was using.,"We reached out to the National Electrical Contractors Association for further information from the electrical engineering aspect of the story, but they told us that not enough details about the incident were publicly available for them to be able to weigh in on the subject.",Misleading,False,False,0.20142626762390137
53,Windsor doctor joining direct primary care movement.,Dr. Emily Anderson-Elder carefully considered her patient’s symptoms:,True,False,False,0.2087390422821045
54,President Trump rolled back rules protecting residents of nursing homes.,"We reached out to the AHCA for comment, but have not received a response.",True,False,False,0.20226097106933594
55,Bosnians mourn baby who died for lack of ID number.,Thousands of Bosnians gathered in front of parliament on Sunday evening to mourn a three-month-old baby who died after failing to get timely surgery because a parliamentary wrangle prevented her getting a passport.,True,True,True,0.160353422164917
56,Pelosi moves on drug prices despite falling-out with Trump.,House Speaker Nancy Pelosi is plowing ahead with her bill to allow Medicare to negotiate prescription drug prices despite a breakdown in relations with her chief bargaining partner on the issue — President Donald Trump.,True,True,True,0.15916991233825684
57,"""The television show """"My Secret Terrius"""" predicted the 2020 COVID-19 outbreak. ""","The fictional coronavirus in the show is also rather different from the strain of coronavirus (COVID-19) that was spreading around the globe in early 2020. In the show, someone “tweaked” the virus in order to make it more deadly. In reality, that simply isn’t possible. COVID-19 is not a human-made bioweapon. (You can read about that conspiracy theory’s origins and scientific failings here.)",False,True,False,0.16320586204528809
58,Novel imaging technique improves prostate cancer detection,"This news release is about a new method of magnetic resonance imaging (MRI) for use in the diagnosis and guiding of treatment for prostate cancer. The release claims that the new technique “measurably improves upon current prostate imaging,”  is “more reliable” than existing techniques, and “provides a better target for biopsies.” No data are provided to support any of these assertions, and the original study that sparked the release included just 27 patients and should be considered highly preliminary. Even the title of that study calls the results merely a “proof of principle.” [Editor’s note: This review was completed in January while we were still developing and honing this news releases review service. Although it’s a few months old, this review contains valuable information for those who write and consume health-related news releases, which is why we’re still publishing it.] Prostate cancer is the leading cause of cancer deaths in men. However, some prostate tumors, even if malignant, may be slow growing and warrant nothing more than watching. If this new MRI method can help identify low-risk tumors, or assess the likelihood that a tumor will spread beyond the prostate, it would be a useful tool for guiding treatment. But the release doesn’t offer any data to show that this technique performs better than existing assessment approaches, and so its ability to justify a role for this new technology in prostate cancer treatment is extremely limited.",False,True,False,0.2039949893951416
59,Higher Folic Acid Levels in Teens Tied to Academic Success,"The study reported on found an association between folic acid intake levels and a measure of school performance in a group of Swedish students. This story did not clarify for readers how the group studied differed in an important way from youth in the US, who are raised consuming a food supply supplemented with folic acid. The story failed to help readers understand that the results of the study were not generalizable to populations of children who differed from those studied. Nonetheless, the story went on to mention many problems that have at one time or other been postulated to be related to folic acid levels. And although the story indicated at the end that the study results did not show that folic acid supplementation was of benefit, the overall gist of the piece was that there was reason to be concerned about the folic acid intake of our nation’s youth. Associations between diet and cognitive function are of interest. However, it is important that the insight from studies be reported so that readers can appreciate whether the outcomes apply to a US audience.",Misleading,True,False,0.201707124710083
60,Cannabis among top priorities for new Thai government.,"Developing a medical cannabis industry is among top policy priorities for Thailand’s new government, according to a document released before the formal announcement.",True,True,True,0.16377711296081543
61,Why You Should Get the New Shingles Vaccine,"This New York Times story is a health column that’s unequivocally in favor of vaccination, and as such it presents information about the vaccine in a somewhat lopsided manner favoring the benefits of the vaccine and downplaying risk. For example, relative numbers that inflate the benefits of the vaccine are used to describe effectiveness, but there is no quantification of the relatively common and significant adverse effects. Without giving proper context to the rarity of shingles, especially the incidence of postherpetic neuralgia, and avoiding absolute numbers in terms of benefits and harms related to the vaccine, it is difficult for readers to get a balanced view of the overall utility of this vaccine.",Misleading,False,False,0.20267224311828613
62,A Wisconsin woman involuntarily lost her hair in July 2019 after she used conditioner that had been tampered with by someone at a Walmart store.,"Although not definitive, Walmart’s internal investigation into many hours of surveillance footage yielded no evidence of product tampering at its New Richmond store, but it did reveal evidence that cast doubt on Timm and Robinson’s version of events. It is noteworthy that the company has decided not to withdraw any items from sale at that store, despite widely publicized allegations that product-tampering took place there.",Misleading,True,False,0.15966343879699707
63,Georgia has a well-deserved reputation for setting the gold standard for food safety.,"""State Rep. says Georgia sets """"gold standard"""" for food safety""",False,False,True,0.20041656494140625
64,"""House Minority Leader Nancy Pelosi said of the Affordable Care Act, in 2010: """"We have to pass the bill so that you can find out what is in it.""",What's true: Nancy Pelosi did utter the words attributed to her about the passage of the Affordable Care Act. What's false: The infamous soundbite doesn't reflect the full context and meaning of her remarks.,Misleading,False,False,0.2014327049255371
65,“You see suicide rates are skyrocketing now…”,"""""""You see suicide rates skyrocketing now,"""" Murtaugh said, in amplifying Trump’s call for an end to COVID-19 business restrictions that have hurt the economy. He addresses a subject of great concern because suicide rates historically have gone up when there were prolonged increases in unemployment rates. But Murtaugh is way ahead of himself. There’s no way to know whether suicides are rising this coronavirus year - let alone """"skyrocketing"""" - because national statistics aren’t available and won’t be for some time. The burden is on Murtaugh, Trump’s top campaign spokesman, to provide broad evidence of his unqualified claim. He comes up short.""",False,False,True,0.20845675468444824
66,Alan Grayson Says Daniel Webster thinks wives should submit to their husbands.,Alan Grayson calls opponent 'Taliban Dan Webster' in stinging new TV ad,False,True,False,0.16063213348388672
67," The Crusades Have Finally Started Again, a forwarded email and forum post making the rounds online since 2016, makes a number of claims about foreign countries cracking down on Muslims and urges similar steps in the United States. ",The Crusades Have Finally Started Again Commentary ,Misleading,True,False,0.15955376625061035
68,"Less acid, brittler hips? Some heartburn drugs may be behind an increase in fractures","This is a compact (only 566 words), nicely reported story that places a potentially important development in its appropriate context. The researchers went to great lengths in their published study to weed out variables other than heartburn drugs that might explain the increase in hip fractures that they observed. Nevertheless, they acknowledge that their retrospective review of a large patient database is inherently incapable of proving cause and effect. The quote from Dr. Alan Buchman in the news story summarizes this chief drawback well: The patients, he notes, may “have some other problem that increases the risk of fractures.” The study provides reasonable evidence to support the news article’s recommendations that patients should only use the drugs if they need them, and even then take them only at their lowest beneficial dose. Whether “the solution is to simply consume more calcium” remains unknown, unfortunately. Additional advice on the benefits of lifestyle and dietary changes would have been welcome, and perhaps a note on the relatively lower fracture risk associated with the class known as histamine blockers. In the end, the take home point may be that patients and doctors should periodically question the need to take any medicine used over the long term, even ones thought to be very safe.",True,True,True,0.19864749908447266
69,A blow to the testicles can kill a man.,"While there have been cases in both the media and the scientific literature that report a connection between testicular trauma and fatalities, these case reports are speculative, sparse, and do not provide enough information to confidently demonstrate the mechanisms hypothesized behind them. A kick in the balls may lead to serious complications, but most urologists agree that death is not one of them.",Misleading,False,False,0.1985950469970703
70,212 at Nebraska meat plant test positive for COVID-19.,"More than 200 workers at a northeastern Nebraska pork processing plant have tested positive for COVID-19, according to plant owners and local health officials.",True,False,False,0.2012941837310791
71,"""Sarah Silverman Says Sen. Rand Paul, R-Ky., has stated that supporting the """"right to health care ... means you believe in slavery.""","""Silverman forwarded a social media meme that said Paul has stated that supporting the """"right to health care … means you believe in slavery."""" The meme has been abridged from the full quote, but we see no significant change in his meaning. We also found no evidence that Paul had backtracked on the views he expressed.""",True,True,True,0.16034579277038574
