id,claim,explanation,actual,predicted,correct,time_sec
10,"""The television show """"My Secret Terrius"""" predicted the 2020 COVID-19 outbreak. ""","The fictional coronavirus in the show is also rather different from the strain of coronavirus (COVID-19) that was spreading around the globe in early 2020. In the show, someone “tweaked” the virus in order to make it more deadly. In reality, that simply isn’t possible. COVID-19 is not a human-made bioweapon. (You can read about that conspiracy theory’s origins and scientific failings here.)",False,True,False,0.15868806838989258
11,Bacteria From Mother May Colonize Cesarean Births,"This is a well-articulated but incomplete story about a proof-of-principle study suggesting that when babies born by C-section are swabbed with their mother’s vaginal fluids, they have a microbiome more closely approximating those of their vaginally-born peers up to a month after birth. The article does a nice job of explaining the science and placing the evidence in context, but we think that it missed the mark on the potential harms of the intervention. This is a significant omission. Emerging research suggests that the types and patterns of natural bacteria growing on our bodies are important for healthy immune, digestive, and metabolic systems. Babies born by C-section do not have the benefit of being colonized by the natural bacteria in their mothers’ vaginal tracts, so an alternative method for inoculating babies with these bacteria (and an inexpensive, easy-to-implement one, at that) may even the playing field for C-section babies.",True,False,False,0.19809770584106445
12,Impact of first federally funded anti-smoking ad campaign remains strong after three years,"CDC Tips ad campaign features advice from former smokersThis news release focuses on a recent study that evaluates the effectiveness of a 2014 Centers for Disease Control and Prevention (CDC) educational advertising campaign called “Tips From Former Smokers” (Tips) that aimed to encourage and help cigarette smokers quit smoking. The release highlights the health risks associated with smoking and the estimated effectiveness of the ad campaign. The release also argues that the Tips campaign was a cost-effective means of helping people quit smoking. It provides some good background data on the health-related costs of smoking as well as estimates on how many people were reached through the ad campaign. However, the release does not give readers a hard number on the campaign’s cost. It would also have been good to know how the effectiveness of the Tips campaign compared to other “quit smoking” efforts. There are few activities as closely tied to adverse health outcomes as cigarette smoking. As the CDC notes (on its site, not in the release), “cigarette smoking harms nearly every organ of the body.” Smoking is linked to significantly increased risks of stroke, heart disease and lung cancer, with close to 500,000 deaths each year attributed to smoking in the United States. Smoking is not only a national health issue, but a global health issue. A 2015 study estimated that, globally, cigarette smoking causes approximately $500 billion in economic damage (largely through health costs) each year. For these reasons, finding effective means to help cigarette users stop smoking is clearly of widespread interest. However, that means taking a critical look at just how well anti-smoking campaigns actually work. And one way to do that is through the lens of a cost-benefit analysis, and comparing the outcomes of multiple campaigns. This release would have been stronger if it had helped readers make the necessary comparisons.",Misleading,True,False,0.19949841499328613
13,"Multigene test may find risk for heart disease, diabetes and breast cancer","This Associated Press story describes a new approach aimed at analyzing genetic data to assess the risk to patients of developing five specific diseases, and giving people a “polygenic score.” The new approach looks at multiple genes at the same time, and the role they play, in developing these diseases. Many current genetic tests focus on seeking individual genes that have been changed. The story needed more caution–there are plenty of unknowns here. For example, even if a person knows their score, there’s no proof that having that number will improve health outcomes. What, for example, should a person do if they find out they’re at high risk for heart disease, but don’t have any signs of it? Also, false-positive and false-negative results could be significant. Predicting a person’s risk for serious and life-threatening diseases is valuable, both to the individual and to public health. So any refined improvement in how we gauge that risk is a true benefit. But this story uses the findings from one effort looking at a British database and extrapolates too broadly without offering readers the kinds of information they need to gauge whether there is great promise here, or just more hype.",Misleading,False,False,0.1998894214630127
14,"Antibiotic eases common stomach pain, studies find","AP included cost information, and this is a significant factor that should not have been ignored by other stories. At the same time, the lack of independent experts was a flaw. This is underscored by an unrepresentative anecdote from a glowing patient success story, even though the study itself showed that the vast majority of people did not get adequate relief. And the placebo effect alone was  significant. Because IBS treatment has been a frustrating experience for so many, even a modest improvement in symptoms that lasts a few months may be worthwhile for some. This appears to be a novel way of treating IBS, and the fact that symptoms improved at all is of interest, even if the duration of the study was short. At $21 a pill, though, one could ask hard questions about how many people are actually going to benefit and whether the treatment is a cost-effective alternative.",True,False,False,0.19789719581604004
15,Cautionary note about prostates,"""First, kudos to the Baltimore Sun for affording this piece almost 1,000 words at a time when many health news stories are limited to 300 words. This is a thoughtful story reporting on the results of a recent study which found that the use of hormone therapy in the treatment of localized prostate cancer in older men was not beneficial. Particular strengths of the story include:  Terrific interview segments with the lead author and with two urologists. The perspective that some urologists may have once seen a """"financial windfall"""" in the use of hormone therapy, explaining some of the expansion in its use. One weakness:  The story could have (should have?) added the important point that screening for prostate cancer is not proven effective yet and remains controversial. One of the reasons so many elderly men are thrown into this difficult decision-making thicket is that the use of the PSA blood test has led to many men being diagnosed with prostate cancers of unknown significance, and leading many of them to pursue the hormone therapy that they felt rendered benefit without side effects. Bottom line of this study:  that theory was wrong.""",True,False,False,0.19763517379760742
16,"Gangster John Dillinger's exceptionally large penis is housed in one of the Smithsonian museums in Washington, D.C.","In the 1988 Jay McInerney’s novel Story of My Life, we found this: “I remember I read somewhere that outlaw guy John Dillinger had one that was about a foot and a half long and it’s preserved in the Smithsonian or someplace. Now that’s what I call the Washington Monument.”",False,False,True,0.19828009605407715
17,"For the first time in 13 years, our dependence on foreign oil is below 50 percent.",Barack Obama campaign says U.S. dependence on foreign oil now below 50 percent,Misleading,False,False,0.19616413116455078
18,"""In the last 24 months, 10 rural Texas hospitals have been forced to shut their doors because state leaders"""" chose not to expand Medicaid.""","""Children’s Defense Fund-Texas said: """"In the last 24 months, 10 rural Texas hospitals have been forced to shut their doors because state leaders have chosen not to invest in our state’s health care systems by rejecting billions in available Medicaid funds to cover more of our state’s uninsured."""" Ten rural hospitals closed, we found, though different hospitals later opened on two sites. Also, as Bresette acknowledged, the non-expansion of Medicaid wasn’t the only reason for the rural closings. Our sense is they occurred due to various squeezes extending, in a few cases, to an owner’s fraudulent acts.""",False,True,False,0.19685959815979004
19,HPV Shot Prevents Genital Warts in Boys and Men,"This story shows many strengths, and wisely sets a single research report from the New England Journal of Medicine inside a larger debate about whether thousands of young men should receive the costly vaccine Gardasil. The story wades into discussions of sexual orientation and even at what age an individual knows this truth about him or herself. These difficult topics are germane to the epidemiology of the many human papillomaviruses, and which people of both sexes are at highest risk from infection. Bravo for reading the editorial that accompanied the study article, and chasing down its author on deadline to get her comments. Bravo for asking “why” when confronted with the seemingly contradictory news that Gardasil can prevent genital warts but is not recommended by the CDC for universal prevention in young men. Since Gardasil (and competitor, Cervarix) debuted a few years ago, there have been heated disagreements about the price and most helpful distribution of the vaccines and whether both sexes should receive them. This major study, demonstrating effectiveness in young men, adds important information to complex questions of cost and prevention. But it needs to be reported in a way that provides some of the history and context for readers. HPV infection is transmitted sexually, so questions of prevention within the entire US population of men and women involve potentially vaccinating both sexes. However, both sexes are not at the same level of risk for potentially deadly cancers years later. Women bear the brunt of the health risks, but men can pass the infection to their partners and can suffer from cancerous and non-cancerous effects of the virus. This new study provides additional information for the ongoing discussion about the public health role of immunizing young men against HPV.",Misleading,True,False,0.21419882774353027
20,The U.S. government funded Mitch McConnell's care and rehabilitation when he had polio as a child.,"However, it was operated as an innovative, nationwide nonprofit organization, not a federal or state agency, and it was not taxpayer or government-funded. The Warm Springs center visited by McConnell remained owned and operated by a nonprofit organization until 1974, when the state of Georgia took it over, making it truly government-run. Since 2014, it has been owned and operated by Augusta University.",False,True,False,0.16071462631225586
21,Shots more effective than FluMist in adults,"First, we acknowledge that the version of the AP story that we found in the Charlotte Observer was less than half the length (327 words) of the AP story as we found it in other newspapers (734 words). So the reporter clearly did a lot more work than what was seen in the Charlotte paper. This is a troubling practice that we've written about elsewhere on the site. Nonetheless, the article accurately summarizes the availability of flu vaccines and the primary results of the new study in the New England Journal of Medicine — the proportion of children protected from the flu by each of two tested vaccines (i.e. the vaccines’ absolute efficacy). However, the story could provide more information to help readers judge the meaning of these results, the novelty of the “new” live, inhaled vaccine, its potential harms and costs, the overall quality of the research, potential conflicts among the story’s sources, and other health measures readers can take to prevent the flu. The AP report omits mention of costs—a significant feature of any major public health initiative. It’s unfortunate that the article fails to put the data on vaccine efficacy into a meaningful context. To begin with, the advantage of the killed vaccine shots over the live FluMist vaccine was not statistically significant. But the fact the shots were just as good as the inhaled vaccine was surprising. The researchers note that the main virus they were concerned about (type A) had changed or “drifted” from the strain that was in the vaccine. Earlier studies had led them to expect that the inactivated vaccine shots would be less effective in this situation. Instead, the shots and nasal spraywere very effective (74% each, according to the new study). The killed virus was also very effective against two strains of type B virus. More information on potential harms might also allay fears associated with live vaccines. Side effects described in the New England Journal of Medicine study were mostly minor–runny nose, headache, cough, and muscle aches among those receiving the live nasal spray vaccine and sore arms among those receiving the shots. The study authors attributed one serious complication to the live (nasal) vaccine—acute pericarditis, or inflammation around the heart and major vessels—a problem that required hospitalization. A little more information about the story’s sources would also help readers assess the new research. The story (as it appeared in the Charlotte paper) quotes a single university-based vaccine expert, but does not state whether he has any potential conflicts of interest. The story fails to note that two researchers received consulting fees from pharmaceutical companies–including MedImmune, which manufactures the FluMist inhaled vaccine in partnership with the researchers’ employer, the University of Michigan. Finally, the AP report misses an opportunity to explain other measures people can take to prevent the flu. In addition to vaccination, the Centers for Disease Control and Prevention recommend several (http://www.cdc.gov/flu/protect/habits.htm). These include using antiviral drugs and good health habits (e.g. avoid close contact; stay home when sick, cover your mouth and nose; clean your hands; avoid touching your eyes, nose or mouth). It would be unfortunate if readers took away the message that flu prevention is not very effective or that a shot (or snort) has little value for the healthier members of a flu-prone community. What did the reporter put in the longer version of his story that you didn't read in the Charlotte paper? Quotes from two other physician-researchers. Caveats about interpreting the study results. Information from another flu study that appeared in the same issue of the New England Journal of Medicine. Information from an editorial in that journal. Information on the age groups approved for use of FluMist. Information on the number of flu deaths (36,000) and hospitalizations (200,000/yr.) from the flu. In other words, you missed a lot. So this is more of a review of the editing done by the Charlotte newspaper that picked up the story off the wire than it is of the work of the original AP reporter.",Misleading,True,False,0.20594382286071777
22,HOW TO LOSE WEIGHT: TWO-WEEK DIET BETTER FOR DROPPING POUNDS,"This article describes a small and limited study (men only!) concluding that “intermittent” dieting that gives participants alternating cycles of two weeks of less restrictive weight-maintenance eating after two weeks of more restrictive calorie counts results in more weight loss over time. The article properly notes the potential benefits of such a plan–better compliance and some possible metabolic assist that prevents dieting “plateaus” that frustrate so many trying to lose pounds. But while the article acknowledges the flaws in most trendy diets, it doesn’t offer readers enough specific information to determine whether this variation on the dietary theme will work for them any better than any other diet. For example, it doesn’t say what the two arms of the intermittent diet included in actual calorie counts and/or foods; what the starting and ending average weights were for the study group; or even how the researchers kept track of what the participants were actually eating or doing other than (presumably) weighing them every two weeks. It’s hard to exaggerate the confusion, frustration, misinformation, disinformation, and potential harm perpetrated by the gazillion diets proffered by those with and without any scientific basis to the growing numbers of obese and overweight in the U.S. and worldwide. Indeed, this Newsweek article starts out with just that notion, but can’t resist promoting yet another one based on very limited evidence and information. Diet studies are guaranteed instant news hooks, so it’s important that stories about them offer abundant context and detail.",Misleading,False,False,0.20074248313903809
23,A growing number of states call porn a public health crisis.,"More than a dozen states have moved to declare pornography a public health crisis, raising concerns among some experts who say the label goes too far and carries its own risks.",True,True,True,0.16025710105895996
24," Debbie Reynolds died one day after her daughter, Carrie Fisher. ",Debbie Reynolds Died One Day After Carrie Fisher–Truth!,True,True,True,0.16054654121398926
25,"""On the last night of the General Assembly, """"by 11 o'clock 95 to 98 percent of the business was done. So we really didn't have that late-night session. We were just holding on one bill.""","""Nicholas Mattiello said that """"by 11 o'clock 95 to 98 percent of the business was done. So we really didn't have that late-night session. We were just holding on one bill."""" It's true that one issue -- Newport Grand and its associated bills -- was holding things up on the last night of the session. It's much less true that 95 percent of the business was done by 11 p.m. And Mattiello's suggestion that you shouldn't call a 4 a.m. adjournment a late-night session simply because most votes involved legislation that members had seen before strikes us as Pants On Fire ridiculous. His statement contains just enough truth -- the fact that one bill was at issue -- to escape having his slacks scorched. (If you have a claim you’d like PolitiFact Rhode Island to check, email us at [email protected] And follow us on Twitter: @politifactri.)""",False,False,True,0.20390629768371582
26,U.S. scientist to file whistleblower complaint after agency halts his climate work.,"A climate scientist for the Trump administration’s health protection agency who was ordered to drop work on climate issues will file a whistleblower complaint this week with the U.S. Office of Special Counsel, his lawyers said on Wednesday.",True,True,True,0.16046833992004395
27,Health Dept: Plague case reported in a Quay County ranch dog.,The New Mexico Department of Health is reporting a case of plague in a ranch dog from Quay County.,True,True,True,0.1597764492034912
28,Jeanne Shaheen Says Scott Brown co-sponsored legislation to let employers deny women coverage for mammograms.,"Shaheen said Brown co-sponsored legislation to let employers deny women coverage for mammograms. The amendment, which Brown supported, was written loosely enough to allow a religious-conscience opt-out for almost any conceivable form of preventive care. But it didn't target mammograms, as Shaheen implied. And while the amendment would have protected religious-conscience objections, we failed to uncover any evidence that mammograms have inspired religious opposition, either now or in the past. The claim contains an element of truth but ignores critical facts that would give a different impression.",False,True,False,0.15839219093322754
29,Vixen workouts fuse foxy cardio fitness with girls’ night out.,"Before the music begins members of the women-only exercise class, dressed in shredded tank tops, full makeup and wedged sneakers, pose seductively before studio mirrors and chant, “Yes, I’m sexy. Yes, I’m fierce. Yes, I’ve got this.”",True,False,False,0.19807171821594238
30,Rick Perry Says Sam Houston opposed slavery and as governor said Texas should not leave the union over slavery.,"""Perry said his long-ago predecessor """"was against slavery, and he stood up and very passionately said, you know, ‘Texas does not need to leave the Union over this issue of slavery.’ """" Houston’s personal views are unclear; politically, he took actions that were viewed as anti-slavery as well as actions that were pro-slavery. But he did exhort Southerners and his fellow Texans not to secede over slavery -- an unpopular stance he stuck to in hopes of preserving the Union he revered.""",Misleading,True,False,0.1575479507446289
31,"""Forecast the Facts Says Scott Walker runs a state government that bans """"employees from talking about climate change.""","""Forecast the Facts said Walker runs a state government that bans """"employees from talking about climate change."""" But the group could only name one obscure agency, outside of the governor's jurisdiction, that has such a rule in place. The rule was aimed at barring its workers from doing climate-change work while on state time. And that rule is poised to be amended. Meanwhile, we found plenty of examples where state agencies were discussing climate change.""",False,False,True,0.19603991508483887
32,"Dawn dish soap contains ammonia even though it's not listed as an ingredient, and when mixed with Clorox bleach products, the results could be lethal.","What's true: When bleach and ammonia mix, a toxic gas called chloramine is released into the air and can cause potentially fatal issues. What's false: However, Dawn dish soap products do not contain ammonia.",Misleading,False,False,0.19647741317749023
33,Vixen workouts fuse foxy cardio fitness with girls’ night out.,"Before the music begins members of the women-only exercise class, dressed in shredded tank tops, full makeup and wedged sneakers, pose seductively before studio mirrors and chant, “Yes, I’m sexy. Yes, I’m fierce. Yes, I’ve got this.”",True,False,False,0.19461464881896973
34,Mindfulness Meditation May Cut IBS Symptoms,"Among several weaknesses in the story, the biggest was a failure to evaluate the quality of the evidence – a failure to help readers understand what this study might mean and what it might not mean. As we state below in our “Evidence” criterion: “We aren’t told if the symptom improvement is clinically meaningful. After all, IBS is a chronic condition and this is a short-term study. And most importantly, the reporting is confusing: “Changes in quality of life …..were not significantly different…. but all were much improved at the 3-month followup in the meditation group.”  And no explanation was given of how symptom changes were measured. Or what was meant by “all were much improved at the three-month followup.”  That’s a big weakness in the story.”  Many people are interested in non-medical approaches to improving health. Mindfulness meditation and other complemenary and alternative therapies, along with exercise and nutritional recommendations are of high interest. Mindfulness meditation and similar therapies are unlikely to have adverse effects and have the potential to be very low cost therapies. But this story didn’t give them enough about a very early, small study.",False,False,True,0.2005929946899414
35,"U.S. President Donald Trump has been the target of multiple accusations that he raped children aged 13 and younger, and he paid at least $35 million to settle most of those claims.","""What's true: A woman using the pseudonym """"Katie Johnson"""" has twice filed a civil lawsuit against Trump and billionaire Jeffrey Epstein accusing them of having sexually abused her when she was 13 years old, but those lawsuits were dismissed or withdrawn. What's false: No evidence supports the claim that Trump has paid upwards of $35 million to silence accusations that he raped several children ranging in age from 10 to 13.""",False,False,True,0.20143508911132812
36,Pilot clinical trial finds injected immune cells safe in multiple myeloma patients,"This is a report of a phase I clinical trial testing whether specific immune cells harvested from the bone marrow, grown in the lab and then re-infused into multiple myeloma patients can effectively change the immune environment in the patient and suggest a possibly improved disease outcome. It looks at using a different population of immune cells — marrow-infiltrating lymphocytes (MILs) — from those used in previous studies. These are both easier to retrieve and easier to grow in the lab, two factors that reduce the complexity of this treatment approach. The release is in many ways a model for other organizations reporting on similar studies. The description of the study is clear, the language used appropriately conservative, and there is context regarding the novelty of the approach and current alternative treatments. Some discussion of possible costs — preliminary though it would have to be — would have completed the picture for readers. Rather than hyping such a study in a frenzied attempt to attract clicks and eyeballs, Hopkins presents the findings in a thoughtful way that reflects well on the institution’s reputation and will help build that reputation over the long haul. Multiple myeloma is one of several cancers of the blood and the National Cancer Institute estimates that nearly 27,000 new cases of myeloma will be diagnosed this year. Less than half of patients live as much as five years after their diagnosis, and more than 11,000 patients are expected to die from the disease this year. Any new approach to treating this and other blood cancers stands to benefit the nearly 90,000 patients now living with this disease in the U.S.",True,True,True,0.20874786376953125
37,North Carolina health system restricts visitation due to flu.,Vidant Health says it is imposing visitor restrictions at its hospitals in North Carolina in response to a high number of flu cases.,True,True,True,0.1602005958557129
38,"""The man leading opposition to a controversial """"bathroom bill"""" in North Carolina is a registered sex offender.""","""What's true: Charlotte businessman Chad Sevearance was convicted of sexual contact with minors in 1998 and supported Charlotte's anti-discrimination ordinance. What's false: Sevearance was not the """"leader"""" of efforts in Charlotte or North Carolina regarding bathroom-related ordinances.""",Misleading,True,False,0.1651167869567871
39,Resveratrol May Slow Aging in Humans,"""An egregious headline shouts """"Resveratrol May Slow Aging in Humans."""" But 10 people took the active substance in the trial  and the only outcomes reported in the story were intermediate or surrogate markers – blood levels of various """"pro-inflammatory markers."""" Read Dr. Michael Kirsch’s excellent blog post, """"Evidence-based Medicine in Disguise:  Beware the Surrogate!"""" This is exactly the kind of story he describes when he wrote, """"Why do some medical studies, which achieve breaking news status, often fall so short of our expectations?"""" Gullible people may jump at anti-aging stuff in the news. This study is far from being ready for prime-time – and so was the story.""",False,False,True,0.20432376861572266
40,"The pros and cons of Prolia, Amgen’s new osteoporosis drug","The story detailed what is known about the impact of this drug on various types of bone fractures associated with osteoporosis, how its mode of action is someone different than other osteoporosis treatments, its administration and how the costs compare with other treatments. The one shortcoming of the story was that it had elements of disease-mongering, as explained below. The gestalt about osteoporosis is that women should live in fear of bone breaks. While the story provided very good information about this new treatment, it did not provide much context about the problem. And its inconsistent use of relative vs. absolute risk/benefit data didn’t help.",True,False,False,0.19863247871398926
41,Gov. Crist's veto also clears the way for taxpayer funding of abortion in Florida.,"Expectations were high last year for three new migraine drugs hitting the market from Amgen Inc, Eli Lilly and Co and Teva Pharmaceutical Industries.",False,Misleading,False,0.16199779510498047
42,Period-free birth control pill approved,"""This story reported on FDA approval of one of several oral contraceptives now on the market that claims to reduce or stop menstrual periods. The manufacturer claims this drug, Lybrel, is """"the first and only low dose combination contraceptive pill taken 365 days a year, without a placebo phase or pill-free interval."""" The story didn’t discuss the quality of the evidence for the drug, so it didn’t disclose that many women in the trials dropped out because of spotting or breakthrough bleeding. Some have said that it’s difficult to make the claim that the drug stops periods when women still get bleeding like this – bleeding that is uNPRedictable. While the story made an attempt to put the new drug into context of other attempts by many women to control their periods with other products already on the market, the story would have been improved with more hard evidence and more scrutiny of the quality of the evidence. It also could have emphasized more clearly what is truly """"new"""" here and what is just new """"packaging."""" If the story could find time to discuss the """"big business potential"""" for the drug, which it did, then it should be able to find time for brief mention of the quality of the evidence. It was good that the story included at least one expert’s concerns about long-term safety of the drug. At the end of the story, the anchor referred viewers to the network’s partnering website for more information. Indeed, there was much more complete information once we found the story on that website. But for people who have or use TVs but not computers, that information was lacking in the on-air-only message.""",Misleading,False,False,0.1994032859802246
43,Knife suspect detained under UK’s Mental Health Act.,Police said Saturday that a man who allegedly lunged at shoppers with a knife at a northwestern England mall has been detained under the Mental Health Act.,True,True,True,0.1607964038848877
44,Novel 'patient-friendly' colonoscopy prep shows excellent efficacy and safety,"This release summarizes an investigational study on a ‘novel’ colonoscopy bowel preparation under development by a Massachusetts-based company. The release claims that the prep is a more palatable regimen that includes solid food bars and low-volume beverages. Researchers report that by the end of the Stage 2 clinical trial, the regimen was as safe and effective as two currently available colonoscopy prep formulations in cleaning out the colon, and, importantly, participating trial volunteers gave the preparation a high rating. The release did a good job of describing the study and quantifying benefits. The existing preps that the novel formulation was compared against were never mentioned and that seems an important omission. The release also didn’t provide enough details about harms, or a ballpark cost estimate, which it seems reasonable to expect in almost all news releases. The study was presented at the American College of Gastroenterology’s 2016 annual meeting. The standard bowel preparation and prolonged fasting required to ensure a clean viewing field for the gastroentologist is daunting and has been suggested as a limiting factor in acceptance. For those approaching the magic age,  Dave Barry’s 2009 article in the Miami Herald provides a humorous look at this screening procedure. But the reality is that colon cancer is the second leading cause of cancer death in the United States and individuals should have a discussion about the benefits and risks of the procedure. The US Preventive Services Task Force recommends screening for colorectal cancer using fecal occult blood testing, sigmoidoscopy, or colonoscopy in adults, beginning at age 50 years and continuing until age 75 years. Should the prep described in the release hold up throughout the clinical trial process, it may be welcomed by individuals facing a colonoscopy.",Misleading,True,False,0.20302248001098633
45,"""Said he got """"52 percent"""" support from women during the 2016 presidential election. ""","Trump’s August speech in Wilkes-Barre, Pennsylvania, was packed with familiar factual distortions.",False,Misleading,False,0.15740537643432617
46,Mindfulness Meditation May Cut IBS Symptoms,"Among several weaknesses in the story, the biggest was a failure to evaluate the quality of the evidence – a failure to help readers understand what this study might mean and what it might not mean. As we state below in our “Evidence” criterion: “We aren’t told if the symptom improvement is clinically meaningful. After all, IBS is a chronic condition and this is a short-term study. And most importantly, the reporting is confusing: “Changes in quality of life …..were not significantly different…. but all were much improved at the 3-month followup in the meditation group.”  And no explanation was given of how symptom changes were measured. Or what was meant by “all were much improved at the three-month followup.”  That’s a big weakness in the story.”  Many people are interested in non-medical approaches to improving health. Mindfulness meditation and other complemenary and alternative therapies, along with exercise and nutritional recommendations are of high interest. Mindfulness meditation and similar therapies are unlikely to have adverse effects and have the potential to be very low cost therapies. But this story didn’t give them enough about a very early, small study.",False,False,True,0.20167756080627441
47,"Ariad to resume sales of cancer drug Iclusig, shares jump.","A leukemia drug that was suspended amid safety concerns nearly two months ago is being allowed back on the U.S. market, though restricted to a smaller group of patients.",True,True,True,0.16080164909362793
48,A growing number of states call porn a public health crisis.,"More than a dozen states have moved to declare pornography a public health crisis, raising concerns among some experts who say the label goes too far and carries its own risks.",True,True,True,0.16040492057800293
49,"""The WIC program """"is an incredibly cost effective program, serving nearly 10 million Americans each year and costing less than $100 per person. In my district, more than 18 percent of residents suffer from food insecurity and depend on WIC to make ends meet.""",Rep. Cicilline says WIC costs $100 per person and 18 percent of people in his district depend on it,False,False,True,0.20170903205871582
50,North Carolina health system restricts visitation due to flu.,Vidant Health says it is imposing visitor restrictions at its hospitals in North Carolina in response to a high number of flu cases.,True,True,True,0.15807843208312988
51,Adolf Hitler never used chemical weapons (against his own people).,"Two days before Spicer’s remarks, French presidential candidate Marine Le Pen was criticized in her country for trying to downplay the role of French citizens who collaborated with the Germans in the deportation of Jewish citizens to Nazi camps in 1942, saying: “I think that in general, more generally, if there were those responsible, it was those who were in power at the time. This is not France.”",False,True,False,0.15813064575195312
52,"The pros and cons of Prolia, Amgen’s new osteoporosis drug","The story detailed what is known about the impact of this drug on various types of bone fractures associated with osteoporosis, how its mode of action is someone different than other osteoporosis treatments, its administration and how the costs compare with other treatments. The one shortcoming of the story was that it had elements of disease-mongering, as explained below. The gestalt about osteoporosis is that women should live in fear of bone breaks. While the story provided very good information about this new treatment, it did not provide much context about the problem. And its inconsistent use of relative vs. absolute risk/benefit data didn’t help.",True,False,False,0.19815897941589355
53,“North Carolina & Virginia State line is closed. Nothing in or out.,A Facebook post said North Carolina's border with Virginia was closed. Some North Carolina local governments have restricted travel. But NC and Virginia have not blocked travel across the border.,False,True,False,0.15834736824035645
